Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	13088	-	0	0	0	0	0	0	5	373	0	0	0	0	0	0	0	1	0	0	119	99	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	5	0	0	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	17	1989	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	4	0	14	0	0	0	1	0	35	0	0	1	0	0	0	0	0	0	0	41	171	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	4	0	44	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	50	242	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	0	89	0	0	0	0	0	28	0	0	0	0	0	0	0	2	0	0	191	870	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	4	0	36	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	42	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	4	0	101	0	0	0	0	0	22	0	0	0	0	0	0	0	2	0	0	232	561	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	3	0	75	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	157	300	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	4	0	72	1	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	197	237	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	4	0	89	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	71	69	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	5	0	385	0	0	0	0	0	93	0	0	0	0	0	0	0	3	0	0	635	1149	0	0	0	36	0	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	4	0	12	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	94	265	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	7	0	44	0	0	0	0	0	59	0	0	1	0	0	0	0	4	0	0	484	930	0	0	0	31	0	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	6	0	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	6	0	18	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	155	388	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	7	0	49	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	220	435	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	5	0	14	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	150	388	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	3	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	4	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	139	301	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	3	0	14	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	166	396	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	4	0	16	0	0	0	0	0	16	0	0	1	0	0	0	0	2	0	0	174	392	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-Satisfies.json	1531	3	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	39	73	0	0	0	2	0	0
fsh-generated/resources/ValueSet-DocumentationSection.json	522	4	0	0	1	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	14	733	0	0	0	1	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	4	0	44	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	137	274	0	0	0	8	0	1
input/resources/StructureDefinition-SGActor.json	1245	4	0	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	87	140	0	0	0	5	0	0
input/resources/StructureDefinition-SGCode.json	1635	4	0	10	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	49	68	0	0	0	3	0	0
input/resources/StructureDefinition-SGGraphDefinition.json	2982	4	0	143	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	128	166	0	0	0	7	0	1
input/resources/StructureDefinition-SGRequirements.json	2445	3	0	17	1	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	111	155	0	0	0	7	0	0
input/resources/StructureDefinition-SGString.json	1427	4	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	33	57	0	0	0	1	0	0
input/resources/StructureDefinition-SGTransaction.json	11715	6	0	90	0	0	0	0	0	152	0	0	1	0	0	0	0	2	0	0	562	939	0	0	0	40	0	2
input/resources/StructureDefinition-SGUserStory.json	2168	4	0	6	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	45	102	0	0	0	2	0	1
