Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	13088	-	0	0	0	0	0	0	4	207	0	0	0	0	0	0	0	1	0	0	122	89	0	0	1	6	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	5	0	0	0	0	0	0	1	13	0	0	1	0	0	0	0	0	0	0	17	1541	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-LinkIdExt.json	1152	4	0	14	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	0	38	178	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	5	0	42	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	39	198	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	6	0	123	0	0	0	0	0	66	0	0	0	0	0	0	0	3	0	0	194	916	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGActorExt.json	1326	7	0	65	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	47	99	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	6	0	135	1	0	0	0	0	31	0	0	0	0	0	0	0	2	0	0	212	555	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	5	0	107	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	143	447	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	5	0	104	0	0	0	0	0	24	0	0	1	0	0	0	0	1	0	0	138	402	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-SGDocumentation.json	2214	6	0	110	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	80	67	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	9	0	496	0	0	0	0	0	104	0	0	0	0	0	0	0	3	0	0	675	767	0	0	0	27	1	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	5	0	21	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	115	261	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	8	0	55	0	0	0	0	0	51	0	0	0	0	0	0	0	3	0	0	480	1178	0	0	0	26	0	2
fsh-generated/resources/StructureDefinition-SGMarkdown.json	1195	5	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	37	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	6	0	24	0	0	0	0	0	20	0	0	1	0	0	0	0	1	0	0	158	383	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	6	0	59	1	0	0	0	0	23	0	0	0	0	0	0	0	2	0	0	191	426	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	5	0	23	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	150	405	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGRequirementExt.json	1304	6	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	34	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	5	0	19	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	135	273	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	6	0	23	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	166	304	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	6	0	22	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	175	258	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-Satisfies.json	1531	6	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	62	50	0	0	0	1	0	0
fsh-generated/resources/ValueSet-DocumentationSection.json	522	5	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	13	400	0	0	0	0	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	6	0	44	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	133	213	0	0	0	7	0	1
input/resources/StructureDefinition-SGActor.json	1245	6	0	15	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	81	130	0	0	0	7	0	0
input/resources/StructureDefinition-SGCode.json	1635	6	0	6	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	48	102	0	0	0	2	0	0
input/resources/StructureDefinition-SGGraphDefinition.json	2982	6	0	60	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	124	151	0	0	0	6	0	1
input/resources/StructureDefinition-SGRequirements.json	2445	6	0	23	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	111	152	0	0	0	7	0	0
input/resources/StructureDefinition-SGString.json	1427	6	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	49	0	0	0	2	0	0
input/resources/StructureDefinition-SGTransaction.json	11715	9	0	106	0	0	0	0	0	100	0	0	1	0	0	0	0	4	0	0	554	919	0	0	0	31	1	2
input/resources/StructureDefinition-SGUserStory.json	2168	6	0	6	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	45	103	0	0	0	2	0	1
